秦 嬴政 汉 刘邦
汉高祖 刘邦 光武帝 刘秀
汉高祖 刘邦 晋武帝 司马炎
汉高祖 刘邦 晋元帝 司马睿
汉高祖 刘邦 隋文帝 杨坚
汉高祖 刘邦 隋炀帝 杨广
汉文帝 刘恒 汉景帝 刘启
汉文帝 刘恒 汉武帝 刘彻
汉文帝 刘恒 汉昭帝 刘弗
汉文帝 刘恒 汉宣帝 刘询
汉文帝 刘恒 光武帝 刘秀
汉文帝 刘恒 晋武帝 司马炎
汉文帝 刘恒 晋元帝 司马睿
汉文帝 刘恒 隋文帝 杨坚
汉文帝 刘恒 隋炀帝 杨广
汉景帝 刘启 汉武帝 刘彻
汉景帝 刘启 汉昭帝 刘弗
汉景帝 刘启 汉宣帝 刘询
汉景帝 刘启 光武帝 刘秀
汉景帝 刘启 晋武帝 司马炎
汉景帝 刘启 晋元帝 司马睿
汉景帝 刘启 隋文帝 杨坚
汉景帝 刘启 隋炀帝 杨广
汉武帝 刘彻 汉昭帝 刘弗
汉武帝 刘彻 汉宣帝 刘询
汉武帝 刘彻 光武帝 刘秀
汉武帝 刘彻 晋武帝 司马炎
汉武帝 刘彻 晋元帝 司马睿
汉武帝 刘彻 隋文帝 杨坚
汉武帝 刘彻 隋炀帝 杨广
汉昭帝 刘弗 汉宣帝 刘询
汉昭帝 刘弗 光武帝 刘秀
汉昭帝 刘弗 晋武帝 司马炎
汉昭帝 刘弗 晋元帝 司马睿
汉昭帝 刘弗 隋文帝 杨坚
汉昭帝 刘弗 隋炀帝 杨广
汉宣帝 刘询 光武帝 刘秀
汉宣帝 刘询 晋武帝 司马炎
汉宣帝 刘询 晋元帝 司马睿
汉宣帝 刘询 隋文帝 杨坚
汉宣帝 刘询 隋炀帝 杨广
光武帝 刘秀 晋武帝 司马炎
光武帝 刘秀 晋元帝 司马睿
光武帝 刘秀 隋文帝 杨坚
光武帝 刘秀 隋炀帝 杨广
晋武帝 司马炎 晋元帝 司马睿
晋武帝 司马炎 隋文帝 杨坚
晋武帝 司马炎 隋炀帝 杨广
晋元帝 司马睿 隋文帝 杨坚
晋元帝 司马睿 隋炀帝 杨广
隋文帝 杨坚 隋炀帝 杨广
唐高祖 李渊 唐太宗 李世民
唐高祖 李渊 唐高宗 李治
唐高祖 李渊 唐中宗 李显
唐高祖 李渊 唐睿宗 李旦
唐高祖 李渊 宋太祖 赵匡胤
唐高祖 李渊 宋太宗 赵炅
唐高祖 李渊 宋真宗 赵恒
唐高祖 李渊 宋仁宗 赵祯
唐高祖 李渊 宋英宗 赵曙
唐高祖 李渊 宋神宗 赵顼
唐高祖 李渊 宋哲宗 赵煦
唐高祖 李渊 宋徽宗 赵佶
唐高祖 李渊 宋钦宗 赵桓
唐高祖 李渊 宋高宗 赵构
唐高祖 李渊 宋孝宗 赵伯宗
唐高祖 李渊 宋光宗 赵敦
唐高祖 李渊 宋宁宗 赵扩
唐高祖 李渊 宋理宗 赵昀
唐高祖 李渊 宋度宗 赵祺
唐高祖 李渊 宋恭帝 赵显
唐高祖 李渊 宋端宗 赵昰
唐高祖 李渊 宋卫王 赵昺
唐高祖 李渊 明太祖 朱元璋
唐高祖 李渊 明惠宗 朱允炆
唐高祖 李渊 明成祖 朱棣
唐高祖 李渊 明仁宗 朱高炽
唐高祖 李渊 明宣宗 朱瞻基
唐高祖 李渊 明英宗 朱祁镇
唐高祖 李渊 明代宗 朱祁钰
唐高祖 李渊 明宪宗 朱见深
唐高祖 李渊 明孝宗 朱佑樘
唐高祖 李渊 明武宗 朱厚照
唐高祖 李渊 明世宗 朱厚熜
唐高祖 李渊 明穆宗 朱载垕
唐高祖 李渊 明神宗 朱翊钧
唐高祖 李渊 明光宗 朱常洛
唐高祖 李渊 明熹宗 朱由校
唐高祖 李渊 明毅宗 朱由检
唐高祖 李渊 清太祖 努尔哈赤
唐高祖 李渊 清太宗 皇太极
唐高祖 李渊 清世祖 福临
唐高祖 李渊 清圣祖 玄烨
唐高祖 李渊 清世宗 胤禛
唐高祖 李渊 清高宗 弘历
唐高祖 李渊 清仁宗 颙琰
唐高祖 李渊 清宣宗 旻宁
唐高祖 李渊 清文宗 奕詝
唐高祖 李渊 清穆宗 载淳
唐高祖 李渊 清德宗 载湉
唐太宗 李世民 唐高宗 李治
唐太宗 李世民 唐中宗 李显
唐太宗 李世民 唐睿宗 李旦
唐太宗 李世民 宋太祖 赵匡胤
唐太宗 李世民 宋太宗 赵炅
唐太宗 李世民 宋真宗 赵恒
唐太宗 李世民 宋仁宗 赵祯
唐太宗 李世民 宋英宗 赵曙
唐太宗 李世民 宋神宗 赵顼
唐太宗 李世民 宋哲宗 赵煦
唐太宗 李世民 宋徽宗 赵佶
唐太宗 李世民 宋钦宗 赵桓
唐太宗 李世民 宋高宗 赵构
唐太宗 李世民 宋孝宗 赵伯宗
唐太宗 李世民 宋光宗 赵敦
唐太宗 李世民 宋宁宗 赵扩
唐太宗 李世民 宋理宗 赵昀
唐太宗 李世民 宋度宗 赵祺
唐太宗 李世民 宋恭帝 赵显
唐太宗 李世民 宋端宗 赵昰
唐太宗 李世民 宋卫王 赵昺
唐太宗 李世民 明太祖 朱元璋
唐太宗 李世民 明惠宗 朱允炆
唐太宗 李世民 明成祖 朱棣
唐太宗 李世民 明仁宗 朱高炽
唐太宗 李世民 明宣宗 朱瞻基
唐太宗 李世民 明英宗 朱祁镇
唐太宗 李世民 明代宗 朱祁钰
唐太宗 李世民 明宪宗 朱见深
唐太宗 李世民 明孝宗 朱佑樘
唐太宗 李世民 明武宗 朱厚照
唐太宗 李世民 明世宗 朱厚熜
唐太宗 李世民 明穆宗 朱载垕
唐太宗 李世民 明神宗 朱翊钧
唐太宗 李世民 明光宗 朱常洛
唐太宗 李世民 明熹宗 朱由校
唐太宗 李世民 明毅宗 朱由检
唐太宗 李世民 清太祖 努尔哈赤
唐太宗 李世民 清太宗 皇太极
唐太宗 李世民 清世祖 福临
唐太宗 李世民 清圣祖 玄烨
唐太宗 李世民 清世宗 胤禛
唐太宗 李世民 清高宗 弘历
唐太宗 李世民 清仁宗 颙琰
唐太宗 李世民 清宣宗 旻宁
唐太宗 李世民 清文宗 奕詝
唐太宗 李世民 清穆宗 载淳
唐太宗 李世民 清德宗 载湉
唐高宗 李治 唐中宗 李显
唐高宗 李治 唐睿宗 李旦
唐高宗 李治 宋太祖 赵匡胤
唐高宗 李治 宋太宗 赵炅
唐高宗 李治 宋真宗 赵恒
唐高宗 李治 宋仁宗 赵祯
唐高宗 李治 宋英宗 赵曙
唐高宗 李治 宋神宗 赵顼
唐高宗 李治 宋哲宗 赵煦
唐高宗 李治 宋徽宗 赵佶
唐高宗 李治 宋钦宗 赵桓
唐高宗 李治 宋高宗 赵构
唐高宗 李治 宋孝宗 赵伯宗
唐高宗 李治 宋光宗 赵敦
唐高宗 李治 宋宁宗 赵扩
唐高宗 李治 宋理宗 赵昀
唐高宗 李治 宋度宗 赵祺
唐高宗 李治 宋恭帝 赵显
唐高宗 李治 宋端宗 赵昰
唐高宗 李治 宋卫王 赵昺
唐高宗 李治 明太祖 朱元璋
唐高宗 李治 明惠宗 朱允炆
唐高宗 李治 明成祖 朱棣
唐高宗 李治 明仁宗 朱高炽
唐高宗 李治 明宣宗 朱瞻基
唐高宗 李治 明英宗 朱祁镇
唐高宗 李治 明代宗 朱祁钰
唐高宗 李治 明宪宗 朱见深
唐高宗 李治 明孝宗 朱佑樘
唐高宗 李治 明武宗 朱厚照
唐高宗 李治 明世宗 朱厚熜
唐高宗 李治 明穆宗 朱载垕
唐高宗 李治 明神宗 朱翊钧
唐高宗 李治 明光宗 朱常洛
唐高宗 李治 明熹宗 朱由校
唐高宗 李治 明毅宗 朱由检
唐高宗 李治 清太祖 努尔哈赤
唐高宗 李治 清太宗 皇太极
唐高宗 李治 清世祖 福临
唐高宗 李治 清圣祖 玄烨
唐高宗 李治 清世宗 胤禛
唐高宗 李治 清高宗 弘历
唐高宗 李治 清仁宗 颙琰
唐高宗 李治 清宣宗 旻宁
唐高宗 李治 清文宗 奕詝
唐高宗 李治 清穆宗 载淳
唐高宗 李治 清德宗 载湉
唐中宗 李显 唐睿宗 李旦
唐中宗 李显 宋太祖 赵匡胤
唐中宗 李显 宋太宗 赵炅
唐中宗 李显 宋真宗 赵恒
唐中宗 李显 宋仁宗 赵祯
唐中宗 李显 宋英宗 赵曙
唐中宗 李显 宋神宗 赵顼
唐中宗 李显 宋哲宗 赵煦
唐中宗 李显 宋徽宗 赵佶
唐中宗 李显 宋钦宗 赵桓
唐中宗 李显 宋高宗 赵构
唐中宗 李显 宋孝宗 赵伯宗
唐中宗 李显 宋光宗 赵敦
唐中宗 李显 宋宁宗 赵扩
唐中宗 李显 宋理宗 赵昀
唐中宗 李显 宋度宗 赵祺
唐中宗 李显 宋恭帝 赵显
唐中宗 李显 宋端宗 赵昰
唐中宗 李显 宋卫王 赵昺
唐中宗 李显 明太祖 朱元璋
唐中宗 李显 明惠宗 朱允炆
唐中宗 李显 明成祖 朱棣
唐中宗 李显 明仁宗 朱高炽
唐中宗 李显 明宣宗 朱瞻基
唐中宗 李显 明英宗 朱祁镇
唐中宗 李显 明代宗 朱祁钰
唐中宗 李显 明宪宗 朱见深
唐中宗 李显 明孝宗 朱佑樘
唐中宗 李显 明武宗 朱厚照
唐中宗 李显 明世宗 朱厚熜
唐中宗 李显 明穆宗 朱载垕
唐中宗 李显 明神宗 朱翊钧
唐中宗 李显 明光宗 朱常洛
唐中宗 李显 明熹宗 朱由校
唐中宗 李显 明毅宗 朱由检
唐中宗 李显 清太祖 努尔哈赤
唐中宗 李显 清太宗 皇太极
唐中宗 李显 清世祖 福临
唐中宗 李显 清圣祖 玄烨
唐中宗 李显 清世宗 胤禛
唐中宗 李显 清高宗 弘历
唐中宗 李显 清仁宗 颙琰
唐中宗 李显 清宣宗 旻宁
唐中宗 李显 清文宗 奕詝
唐中宗 李显 清穆宗 载淳
唐中宗 李显 清德宗 载湉
唐睿宗 李旦 宋太祖 赵匡胤
唐睿宗 李旦 宋太宗 赵炅
唐睿宗 李旦 宋真宗 赵恒
唐睿宗 李旦 宋仁宗 赵祯
唐睿宗 李旦 宋英宗 赵曙
唐睿宗 李旦 宋神宗 赵顼
唐睿宗 李旦 宋哲宗 赵煦
唐睿宗 李旦 宋徽宗 赵佶
唐睿宗 李旦 宋钦宗 赵桓
唐睿宗 李旦 宋高宗 赵构
唐睿宗 李旦 宋孝宗 赵伯宗
唐睿宗 李旦 宋光宗 赵敦
唐睿宗 李旦 宋宁宗 赵扩
唐睿宗 李旦 宋理宗 赵昀
唐睿宗 李旦 宋度宗 赵祺
唐睿宗 李旦 宋恭帝 赵显
唐睿宗 李旦 宋端宗 赵昰
唐睿宗 李旦 宋卫王 赵昺
唐睿宗 李旦 明太祖 朱元璋
唐睿宗 李旦 明惠宗 朱允炆
唐睿宗 李旦 明成祖 朱棣
唐睿宗 李旦 明仁宗 朱高炽
唐睿宗 李旦 明宣宗 朱瞻基
唐睿宗 李旦 明英宗 朱祁镇
唐睿宗 李旦 明代宗 朱祁钰
唐睿宗 李旦 明宪宗 朱见深
唐睿宗 李旦 明孝宗 朱佑樘
唐睿宗 李旦 明武宗 朱厚照
唐睿宗 李旦 明世宗 朱厚熜
唐睿宗 李旦 明穆宗 朱载垕
唐睿宗 李旦 明神宗 朱翊钧
唐睿宗 李旦 明光宗 朱常洛
唐睿宗 李旦 明熹宗 朱由校
唐睿宗 李旦 明毅宗 朱由检
唐睿宗 李旦 清太祖 努尔哈赤
唐睿宗 李旦 清太宗 皇太极
唐睿宗 李旦 清世祖 福临
唐睿宗 李旦 清圣祖 玄烨
唐睿宗 李旦 清世宗 胤禛
唐睿宗 李旦 清高宗 弘历
唐睿宗 李旦 清仁宗 颙琰
唐睿宗 李旦 清宣宗 旻宁
唐睿宗 李旦 清文宗 奕詝
唐睿宗 李旦 清穆宗 载淳
唐睿宗 李旦 清德宗 载湉
宋太祖 赵匡胤 宋太宗 赵炅
宋太祖 赵匡胤 宋真宗 赵恒
宋太祖 赵匡胤 宋仁宗 赵祯
宋太祖 赵匡胤 宋英宗 赵曙
宋太祖 赵匡胤 宋神宗 赵顼
宋太祖 赵匡胤 宋哲宗 赵煦
宋太祖 赵匡胤 宋徽宗 赵佶
宋太祖 赵匡胤 宋钦宗 赵桓
宋太祖 赵匡胤 宋高宗 赵构
宋太祖 赵匡胤 宋孝宗 赵伯宗
宋太祖 赵匡胤 宋光宗 赵敦
宋太祖 赵匡胤 宋宁宗 赵扩
宋太祖 赵匡胤 宋理宗 赵昀
宋太祖 赵匡胤 宋度宗 赵祺
宋太祖 赵匡胤 宋恭帝 赵显
宋太祖 赵匡胤 宋端宗 赵昰
宋太祖 赵匡胤 宋卫王 赵昺
宋太祖 赵匡胤 明太祖 朱元璋
宋太祖 赵匡胤 明惠宗 朱允炆
宋太祖 赵匡胤 明成祖 朱棣
宋太祖 赵匡胤 明仁宗 朱高炽
宋太祖 赵匡胤 明宣宗 朱瞻基
宋太祖 赵匡胤 明英宗 朱祁镇
宋太祖 赵匡胤 明代宗 朱祁钰
宋太祖 赵匡胤 明宪宗 朱见深
宋太祖 赵匡胤 明孝宗 朱佑樘
宋太祖 赵匡胤 明武宗 朱厚照
宋太祖 赵匡胤 明世宗 朱厚熜
宋太祖 赵匡胤 明穆宗 朱载垕
宋太祖 赵匡胤 明神宗 朱翊钧
宋太祖 赵匡胤 明光宗 朱常洛
宋太祖 赵匡胤 明熹宗 朱由校
宋太祖 赵匡胤 明毅宗 朱由检
宋太祖 赵匡胤 清太祖 努尔哈赤
宋太祖 赵匡胤 清太宗 皇太极
宋太祖 赵匡胤 清世祖 福临
宋太祖 赵匡胤 清圣祖 玄烨
宋太祖 赵匡胤 清世宗 胤禛
宋太祖 赵匡胤 清高宗 弘历
宋太祖 赵匡胤 清仁宗 颙琰
宋太祖 赵匡胤 清宣宗 旻宁
宋太祖 赵匡胤 清文宗 奕詝
宋太祖 赵匡胤 清穆宗 载淳
宋太祖 赵匡胤 清德宗 载湉
宋太宗 赵炅 宋真宗 赵恒
宋太宗 赵炅 宋仁宗 赵祯
宋太宗 赵炅 宋英宗 赵曙
宋太宗 赵炅 宋神宗 赵顼
宋太宗 赵炅 宋哲宗 赵煦
宋太宗 赵炅 宋徽宗 赵佶
宋太宗 赵炅 宋钦宗 赵桓
宋太宗 赵炅 宋高宗 赵构
宋太宗 赵炅 宋孝宗 赵伯宗
宋太宗 赵炅 宋光宗 赵敦
宋太宗 赵炅 宋宁宗 赵扩
宋太宗 赵炅 宋理宗 赵昀
宋太宗 赵炅 宋度宗 赵祺
宋太宗 赵炅 宋恭帝 赵显
宋太宗 赵炅 宋端宗 赵昰
宋太宗 赵炅 宋卫王 赵昺
宋太宗 赵炅 明太祖 朱元璋
宋太宗 赵炅 明惠宗 朱允炆
宋太宗 赵炅 明成祖 朱棣
宋太宗 赵炅 明仁宗 朱高炽
宋太宗 赵炅 明宣宗 朱瞻基
宋太宗 赵炅 明英宗 朱祁镇
宋太宗 赵炅 明代宗 朱祁钰
宋太宗 赵炅 明宪宗 朱见深
宋太宗 赵炅 明孝宗 朱佑樘
宋太宗 赵炅 明武宗 朱厚照
宋太宗 赵炅 明世宗 朱厚熜
宋太宗 赵炅 明穆宗 朱载垕
宋太宗 赵炅 明神宗 朱翊钧
宋太宗 赵炅 明光宗 朱常洛
宋太宗 赵炅 明熹宗 朱由校
宋太宗 赵炅 明毅宗 朱由检
宋太宗 赵炅 清太祖 努尔哈赤
宋太宗 赵炅 清太宗 皇太极
宋太宗 赵炅 清世祖 福临
宋太宗 赵炅 清圣祖 玄烨
宋太宗 赵炅 清世宗 胤禛
宋太宗 赵炅 清高宗 弘历
宋太宗 赵炅 清仁宗 颙琰
宋太宗 赵炅 清宣宗 旻宁
宋太宗 赵炅 清文宗 奕詝
宋太宗 赵炅 清穆宗 载淳
宋太宗 赵炅 清德宗 载湉
宋真宗 赵恒 宋仁宗 赵祯
宋真宗 赵恒 宋英宗 赵曙
宋真宗 赵恒 宋神宗 赵顼
宋真宗 赵恒 宋哲宗 赵煦
宋真宗 赵恒 宋徽宗 赵佶
宋真宗 赵恒 宋钦宗 赵桓
宋真宗 赵恒 宋高宗 赵构
宋真宗 赵恒 宋孝宗 赵伯宗
宋真宗 赵恒 宋光宗 赵敦
宋真宗 赵恒 宋宁宗 赵扩
宋真宗 赵恒 宋理宗 赵昀
宋真宗 赵恒 宋度宗 赵祺
宋真宗 赵恒 宋恭帝 赵显
宋真宗 赵恒 宋端宗 赵昰
宋真宗 赵恒 宋卫王 赵昺
宋真宗 赵恒 明太祖 朱元璋
宋真宗 赵恒 明惠宗 朱允炆
宋真宗 赵恒 明成祖 朱棣
宋真宗 赵恒 明仁宗 朱高炽
宋真宗 赵恒 明宣宗 朱瞻基
宋真宗 赵恒 明英宗 朱祁镇
宋真宗 赵恒 明代宗 朱祁钰
宋真宗 赵恒 明宪宗 朱见深
宋真宗 赵恒 明孝宗 朱佑樘
宋真宗 赵恒 明武宗 朱厚照
宋真宗 赵恒 明世宗 朱厚熜
宋真宗 赵恒 明穆宗 朱载垕
宋真宗 赵恒 明神宗 朱翊钧
宋真宗 赵恒 明光宗 朱常洛
宋真宗 赵恒 明熹宗 朱由校
宋真宗 赵恒 明毅宗 朱由检
宋真宗 赵恒 清太祖 努尔哈赤
宋真宗 赵恒 清太宗 皇太极
宋真宗 赵恒 清世祖 福临
宋真宗 赵恒 清圣祖 玄烨
宋真宗 赵恒 清世宗 胤禛
宋真宗 赵恒 清高宗 弘历
宋真宗 赵恒 清仁宗 颙琰
宋真宗 赵恒 清宣宗 旻宁
宋真宗 赵恒 清文宗 奕詝
宋真宗 赵恒 清穆宗 载淳
宋真宗 赵恒 清德宗 载湉
宋仁宗 赵祯 宋英宗 赵曙
宋仁宗 赵祯 宋神宗 赵顼
宋仁宗 赵祯 宋哲宗 赵煦
宋仁宗 赵祯 宋徽宗 赵佶
宋仁宗 赵祯 宋钦宗 赵桓
宋仁宗 赵祯 宋高宗 赵构
宋仁宗 赵祯 宋孝宗 赵伯宗
宋仁宗 赵祯 宋光宗 赵敦
宋仁宗 赵祯 宋宁宗 赵扩
宋仁宗 赵祯 宋理宗 赵昀
宋仁宗 赵祯 宋度宗 赵祺
宋仁宗 赵祯 宋恭帝 赵显
宋仁宗 赵祯 宋端宗 赵昰
宋仁宗 赵祯 宋卫王 赵昺
宋仁宗 赵祯 明太祖 朱元璋
宋仁宗 赵祯 明惠宗 朱允炆
宋仁宗 赵祯 明成祖 朱棣
宋仁宗 赵祯 明仁宗 朱高炽
宋仁宗 赵祯 明宣宗 朱瞻基
宋仁宗 赵祯 明英宗 朱祁镇
宋仁宗 赵祯 明代宗 朱祁钰
宋仁宗 赵祯 明宪宗 朱见深
宋仁宗 赵祯 明孝宗 朱佑樘
宋仁宗 赵祯 明武宗 朱厚照
宋仁宗 赵祯 明世宗 朱厚熜
宋仁宗 赵祯 明穆宗 朱载垕
宋仁宗 赵祯 明神宗 朱翊钧
宋仁宗 赵祯 明光宗 朱常洛
宋仁宗 赵祯 明熹宗 朱由校
宋仁宗 赵祯 明毅宗 朱由检
宋仁宗 赵祯 清太祖 努尔哈赤
宋仁宗 赵祯 清太宗 皇太极
宋仁宗 赵祯 清世祖 福临
宋仁宗 赵祯 清圣祖 玄烨
宋仁宗 赵祯 清世宗 胤禛
宋仁宗 赵祯 清高宗 弘历
宋仁宗 赵祯 清仁宗 颙琰
宋仁宗 赵祯 清宣宗 旻宁
宋仁宗 赵祯 清文宗 奕詝
宋仁宗 赵祯 清穆宗 载淳
宋仁宗 赵祯 清德宗 载湉
宋英宗 赵曙 宋神宗 赵顼
宋英宗 赵曙 宋哲宗 赵煦
宋英宗 赵曙 宋徽宗 赵佶
宋英宗 赵曙 宋钦宗 赵桓
宋英宗 赵曙 宋高宗 赵构
宋英宗 赵曙 宋孝宗 赵伯宗
宋英宗 赵曙 宋光宗 赵敦
宋英宗 赵曙 宋宁宗 赵扩
宋英宗 赵曙 宋理宗 赵昀
宋英宗 赵曙 宋度宗 赵祺
宋英宗 赵曙 宋恭帝 赵显
宋英宗 赵曙 宋端宗 赵昰
宋英宗 赵曙 宋卫王 赵昺
宋英宗 赵曙 明太祖 朱元璋
宋英宗 赵曙 明惠宗 朱允炆
宋英宗 赵曙 明成祖 朱棣
宋英宗 赵曙 明仁宗 朱高炽
宋英宗 赵曙 明宣宗 朱瞻基
宋英宗 赵曙 明英宗 朱祁镇
宋英宗 赵曙 明代宗 朱祁钰
宋英宗 赵曙 明宪宗 朱见深
宋英宗 赵曙 明孝宗 朱佑樘
宋英宗 赵曙 明武宗 朱厚照
宋英宗 赵曙 明世宗 朱厚熜
宋英宗 赵曙 明穆宗 朱载垕
宋英宗 赵曙 明神宗 朱翊钧
宋英宗 赵曙 明光宗 朱常洛
宋英宗 赵曙 明熹宗 朱由校
宋英宗 赵曙 明毅宗 朱由检
宋英宗 赵曙 清太祖 努尔哈赤
宋英宗 赵曙 清太宗 皇太极
宋英宗 赵曙 清世祖 福临
宋英宗 赵曙 清圣祖 玄烨
宋英宗 赵曙 清世宗 胤禛
宋英宗 赵曙 清高宗 弘历
宋英宗 赵曙 清仁宗 颙琰
宋英宗 赵曙 清宣宗 旻宁
宋英宗 赵曙 清文宗 奕詝
宋英宗 赵曙 清穆宗 载淳
宋英宗 赵曙 清德宗 载湉
宋神宗 赵顼 宋哲宗 赵煦
宋神宗 赵顼 宋徽宗 赵佶
宋神宗 赵顼 宋钦宗 赵桓
宋神宗 赵顼 宋高宗 赵构
宋神宗 赵顼 宋孝宗 赵伯宗
宋神宗 赵顼 宋光宗 赵敦
宋神宗 赵顼 宋宁宗 赵扩
宋神宗 赵顼 宋理宗 赵昀
宋神宗 赵顼 宋度宗 赵祺
宋神宗 赵顼 宋恭帝 赵显
宋神宗 赵顼 宋端宗 赵昰
宋神宗 赵顼 宋卫王 赵昺
宋神宗 赵顼 明太祖 朱元璋
宋神宗 赵顼 明惠宗 朱允炆
宋神宗 赵顼 明成祖 朱棣
宋神宗 赵顼 明仁宗 朱高炽
宋神宗 赵顼 明宣宗 朱瞻基
宋神宗 赵顼 明英宗 朱祁镇
宋神宗 赵顼 明代宗 朱祁钰
宋神宗 赵顼 明宪宗 朱见深
宋神宗 赵顼 明孝宗 朱佑樘
宋神宗 赵顼 明武宗 朱厚照
宋神宗 赵顼 明世宗 朱厚熜
宋神宗 赵顼 明穆宗 朱载垕
宋神宗 赵顼 明神宗 朱翊钧
宋神宗 赵顼 明光宗 朱常洛
宋神宗 赵顼 明熹宗 朱由校
